cd_mun,NM_MUN,SIGLA_UF,NM_REGIAO,pop,icm_faixa,icm_total,dim1,dim2,dim3,porte,perfil_risco,grupo,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
2508554,Logradouro,PB,Nordeste,5107.0,D,1.0,0.0,1.0,0.0,Pequeno,Não Prioritário,pequeno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4316006,Rolante,RS,Sul,21752.0,B,16.0,5.0,6.0,5.0,Pequeno,Prioritário,prioritario,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3134608,Jaboticatubas,MG,Sudeste,21407.0,C,10.0,4.0,4.0,2.0,Pequeno,Prioritários,prioritario,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2108900,Poção de Pedras,MA,Nordeste,17394.0,D,6.0,2.0,3.0,1.0,Pequeno,Prioritário,prioritario,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2701308,Cajueiro,AL,Nordeste,16572.0,B,14.0,5.0,4.0,5.0,Pequeno,Prioritário,prioritario,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1400605,São Luiz do Anauá,RR,Norte,7848.0,D,4.0,0.0,2.0,2.0,Pequeno,Não Prioritário,pequeno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
4128005,Ubiratã,PR,Sul,25732.0,A,14.0,6.0,5.0,3.0,Pequeno,Não Prioritário,pequeno,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
2205805,Luzilândia,PI,Nordeste,26143.0,D,5.0,3.0,2.0,0.0,Pequeno,Prioritário,prioritario,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2402006,Caicó,RN,Nordeste,63338.0,C,14.0,4.0,5.0,5.0,Pequeno,Prioritários,prioritario,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4307815,Estrela Velha,RS,Sul,3115.0,C,7.0,1.0,5.0,1.0,Pequeno,Não Prioritário,pequeno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2807600,Umbaúba,SE,Nordeste,24618.0,C,7.0,1.0,5.0,1.0,Pequeno,Não Prioritário,pequeno,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2304707,Granja,CE,Nordeste,55809.0,C,10.0,4.0,4.0,2.0,Pequeno,Prioritários,prioritario,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2410306,Serra Caiada,RN,Nordeste,11203.0,C,5.0,1.0,3.0,1.0,Pequeno,Não Prioritário,pequeno,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3101904,Alpinópolis,MG,Sudeste,18673.0,D,7.0,2.0,3.0,2.0,Pequeno,Prioritário,prioritario,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
4201703,Ascurra,SC,Sul,8720.0,B,14.0,7.0,4.0,3.0,Pequeno,Prioritário,prioritario,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
4307807,Estrela,RS,Sul,33263.0,B,17.0,6.0,6.0,5.0,Pequeno,Prioritário,prioritario,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3143153,Monte Formoso,MG,Sudeste,4437.0,A,13.0,7.0,4.0,2.0,Pequeno,Não Prioritário,pequeno,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
2905701,Camaçari,BA,Nordeste,321636.0,A,20.0,8.0,7.0,5.0,Médio/Grande,Prioritário,prioritario,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2508406,Lastro,PB,Nordeste,3316.0,C,6.0,1.0,3.0,2.0,Pequeno,Não Prioritário,pequeno,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
4104105,Campo do Tenente,PR,Sul,7693.0,A,12.0,5.0,4.0,3.0,Pequeno,Não Prioritário,pequeno,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
2100709,Anajatuba,MA,Nordeste,26250.0,D,3.0,0.0,2.0,1.0,Pequeno,Não Prioritário,pequeno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3110202,Cajuri,MG,Sudeste,4191.0,B,15.0,6.0,4.0,5.0,Pequeno,Prioritário,prioritario,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2922003,Mucuri,BA,Nordeste,40114.0,D,8.0,1.0,5.0,2.0,Pequeno,Prioritário,prioritario,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
4119806,Planalto,PR,Sul,14722.0,B,11.0,5.0,2.0,4.0,Pequeno,Não Prioritário,pequeno,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
5219258,Santa Fé de Goiás,GO,Centro-oeste,5047.0,D,2.0,0.0,1.0,1.0,Pequeno,Não Prioritário,pequeno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3534609,Osvaldo Cruz,SP,Sudeste,32112.0,A,10.0,3.0,4.0,3.0,Pequeno,Não Prioritário,pequeno,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
2402105,Campo Redondo,RN,Nordeste,10510.0,D,6.0,0.0,5.0,1.0,Pequeno,Não Prioritário,pequeno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2615706,Triunfo,PE,Nordeste,15141.0,A,10.0,3.0,4.0,3.0,Pequeno,Não Prioritário,pequeno,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2500205,Aguiar,PB,Nordeste,5026.0,D,1.0,0.0,1.0,0.0,Pequeno,Não Prioritário,pequeno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3305703,Sumidouro,RJ,Sudeste,15693.0,B,17.0,6.0,7.0,4.0,Pequeno,Prioritário,prioritario,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
5211206,Itapuranga,GO,Centro-oeste,26553.0,D,2.0,0.0,1.0,1.0,Pequeno,Não Prioritário,pequeno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1507755,Sapucaia,PA,Norte,6212.0,B,13.0,6.0,2.0,5.0,Pequeno,Não Prioritário,pequeno,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
4127965,Turvo,PR,Sul,14101.0,A,16.0,7.0,5.0,4.0,Pequeno,Não Prioritário,pequeno,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
3167400,Silvianópolis,MG,Sudeste,6348.0,C,6.0,1.0,2.0,3.0,Pequeno,Não Prioritário,pequeno,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
3102001,Alterosa,MG,Sudeste,14272.0,A,10.0,3.0,5.0,2.0,Pequeno,Não Prioritário,pequeno,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
4307906,Farroupilha,RS,Sul,72552.0,A,16.0,7.0,6.0,3.0,Pequeno,Não Prioritário,pequeno,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
3502408,Anhumas,SP,Sudeste,4118.0,D,4.0,0.0,3.0,1.0,Pequeno,Não Prioritário,pequeno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4127957,Tupãssi,PR,Sul,8208.0,D,3.0,1.0,2.0,0.0,Pequeno,Não Prioritário,pequeno,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4111605,Ivatuba,PR,Sul,2685.0,C,6.0,3.0,1.0,2.0,Pequeno,Não Prioritário,pequeno,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
